Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
-----                               -----           -----                  -----                  nestedExp              No             arithmeticExpression  
-----                               -----           -----                  -----                  addSubRem              No             addSub                
-                                   12              TK_MINUS               -----                  addSub                 Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
234                                 12              TK_NUM                 234                    var                    Yes             -----                 
-----                               -----           -----                  -----                  addSubRem              No             unit                  
-----                               -----           -----                  -----                  mulDivRem              No             mulDiv                
*                                   12              TK_MUL                 -----                  mulDiv                 Yes             -----                 
-----                               -----           -----                  -----                  mulDivRem              No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
8                                   12              TK_NUM                 8                      var                    Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             mulDivRem             
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  arithmeticExpression   No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              Yes            addSubRem             
-----                               -----           -----                  -----                  mulDivRem              No             nestedExp             
)                                   12              TK_CL                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             mulDivRem             
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  nestedExp              No             arithmeticExpression  
-----                               -----           -----                  -----                  arithmeticExpression   Yes            addSubRem             
-----                               -----           -----                  -----                  unit                   No             nestedExp             
)                                   12              TK_CL                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  assignmentStmt         No             arithmeticExpression  
-----                               -----           -----                  -----                  addSubRem              No             addSub                
+                                   12              TK_PLUS                -----                  addSub                 Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
5                                   12              TK_NUM                 5                      var                    Yes             -----                 
-----                               -----           -----                  -----                  addSubRem              No             unit                  
-----                               -----           -----                  -----                  mulDivRem              No             mulDiv                
*                                   12              TK_MUL                 -----                  mulDiv                 Yes             -----                 
-----                               -----           -----                  -----                  mulDivRem              No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
c3                                  12              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  unit                   No             mulDivRem             
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  arithmeticExpression   No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              Yes            addSubRem             
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   12              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
if                                  13              TK_IF                  -----                  conditionalStmt        Yes             -----                 
(                                   13              TK_OP                  -----                  conditionalStmt        Yes             -----                 
(                                   13              TK_OP                  -----                  booleanExpression      Yes             -----                 
